pool_size,actual_pool_size,repeat,tasks,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,n
5000,5000,9,87,0.5747126436781609,0.7011494252873564,0.7701149425287356,0.8620689655172413,0.4597974822112753,0.5563492063492064,0.6512862616310892,0.6588578726509761,0.5616570385252023,87
5000,5000,10,87,0.6091954022988506,0.735632183908046,0.7816091954022989,0.8505747126436781,0.47895457033388067,0.5483032293377121,0.65415982484948,0.6805327494982667,0.5762042916178093,87
5000,5000,11,87,0.5747126436781609,0.7011494252873564,0.7586206896551724,0.8735632183908046,0.469376026272578,0.5450465243568692,0.6577996715927751,0.6636881955847473,0.5780255923908426,87
5000,5000,12,87,0.5632183908045977,0.7126436781609196,0.7816091954022989,0.8505747126436781,0.4700602079912425,0.5441981390257252,0.650328407224959,0.6520388615216202,0.5622704817044226,87
5000,5000,13,87,0.632183908045977,0.735632183908046,0.7816091954022989,0.8505747126436781,0.5076902025177887,0.5684181718664477,0.6451559934318555,0.6970625798212005,0.582974629585742,87
5000,5000,14,87,0.5862068965517241,0.7471264367816092,0.7816091954022989,0.8620689655172413,0.49715380405035575,0.5703338806787083,0.6604816639299398,0.6736407589855866,0.5773054405578061,87
5000,5000,15,87,0.5977011494252874,0.7011494252873564,0.7701149425287356,0.8505747126436781,0.4712917350848385,0.5391078270388615,0.650519978106185,0.6698093413610655,0.5732202400511361,87
5000,5000,16,87,0.6091954022988506,0.7241379310344828,0.7471264367816092,0.8735632183908046,0.46841817186644774,0.5324028461959497,0.6564586754241927,0.6787310709724503,0.5739984793669646,87
5000,5000,17,87,0.6091954022988506,0.7471264367816092,0.7931034482758621,0.8620689655172413,0.5038587848932676,0.5578817733990148,0.6493705528188287,0.6904214559386973,0.5785638276428053,87
5000,5000,18,87,0.5517241379310345,0.7241379310344828,0.7931034482758621,0.8505747126436781,0.4833607006020799,0.5406403940886699,0.65415982484948,0.6516876482393724,0.5670238382225277,87
